date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2015-08-24,15.9,10.35,324990.0,000001.XSHE,31400.0,平安银行
2015-08-24,18.16,14.98,158788.0,600036.XSHG,10600.0,招商银行
2015-08-25,15.9,9.46,297044.0,000001.XSHE,31400.0,平安银行
2015-08-25,18.16,14.71,155926.0,600036.XSHG,10600.0,招商银行
2015-08-26,15.9,9.91,311174.0,000001.XSHE,31400.0,平安银行
2015-08-26,18.16,16.09,170554.0,600036.XSHG,10600.0,招商银行
2015-08-27,15.9,10.8,339120.0,000001.XSHE,31400.0,平安银行
2015-08-27,18.16,17.63,186878.0,600036.XSHG,10600.0,招商银行
2015-08-28,15.9,10.83,340062.0,000001.XSHE,31400.0,平安银行
2015-08-28,18.16,17.3,183380.0,600036.XSHG,10600.0,招商银行
2015-08-31,15.9,11.07,347598.0,000001.XSHE,31400.0,平安银行
2015-08-31,18.16,17.05,180730.0,600036.XSHG,10600.0,招商银行
2015-09-01,15.9,11.57,363298.0,000001.XSHE,31400.0,平安银行
2015-09-01,18.16,16.84,178504.0,600036.XSHG,10600.0,招商银行
2015-09-02,15.9,11.84,371776.0,000001.XSHE,31400.0,平安银行
2015-09-02,18.16,16.77,177762.0,600036.XSHG,10600.0,招商银行
2015-09-07,15.9,10.89,341946.0,000001.XSHE,31400.0,平安银行
2015-09-07,18.16,16.16,171296.0,600036.XSHG,10600.0,招商银行
2015-09-08,15.9,11.0,345400.0,000001.XSHE,31400.0,平安银行
2015-09-08,18.16,16.65,176490.0,600036.XSHG,10600.0,招商银行
2015-09-09,15.9,11.1,348540.0,000001.XSHE,31400.0,平安银行
2015-09-09,18.16,16.75,177550.0,600036.XSHG,10600.0,招商银行
2015-09-10,15.9,11.05,346970.0,000001.XSHE,31400.0,平安银行
2015-09-10,18.16,17.29,183274.0,600036.XSHG,10600.0,招商银行
2015-09-11,15.9,10.96,344144.0,000001.XSHE,31400.0,平安银行
2015-09-11,18.16,17.12,181472.0,600036.XSHG,10600.0,招商银行
2015-09-14,15.9,10.87,341318.0,000001.XSHE,31400.0,平安银行
2015-09-14,18.16,18.35,194510.0,600036.XSHG,10600.0,招商银行
2015-09-15,15.9,10.57,331898.0,000001.XSHE,31400.0,平安银行
2015-09-15,18.16,18.01,190906.0,600036.XSHG,10600.0,招商银行
2015-09-16,15.9,10.9,342260.0,000001.XSHE,31400.0,平安银行
2015-09-16,18.16,17.88,189528.0,600036.XSHG,10600.0,招商银行
2015-09-17,15.9,10.77,338178.0,000001.XSHE,31400.0,平安银行
2015-09-17,18.16,17.56,186136.0,600036.XSHG,10600.0,招商银行
2015-09-18,15.9,10.81,339434.0,000001.XSHE,31400.0,平安银行
2015-09-18,18.16,17.71,187726.0,600036.XSHG,10600.0,招商银行
2015-09-21,15.9,10.82,339748.0,000001.XSHE,31400.0,平安银行
2015-09-21,18.16,17.57,186242.0,600036.XSHG,10600.0,招商银行
2015-09-22,15.9,10.96,344144.0,000001.XSHE,31400.0,平安银行
2015-09-22,18.16,17.96,190376.0,600036.XSHG,10600.0,招商银行
2015-09-23,15.9,10.7,335980.0,000001.XSHE,31400.0,平安银行
2015-09-23,18.16,17.73,187938.0,600036.XSHG,10600.0,招商银行
2015-09-24,15.9,10.71,336294.0,000001.XSHE,31400.0,平安银行
2015-09-24,18.16,17.52,185712.0,600036.XSHG,10600.0,招商银行
2015-09-25,15.9,10.55,331270.0,000001.XSHE,31400.0,平安银行
2015-09-25,18.16,17.72,187832.0,600036.XSHG,10600.0,招商银行
2015-09-28,15.9,10.53,330642.0,000001.XSHE,31400.0,平安银行
2015-09-28,18.16,17.51,185606.0,600036.XSHG,10600.0,招商银行
2015-09-29,15.9,10.38,325932.0,000001.XSHE,31400.0,平安银行
2015-09-29,18.16,17.44,184864.0,600036.XSHG,10600.0,招商银行
2015-09-30,15.9,10.49,329386.0,000001.XSHE,31400.0,平安银行
2015-09-30,18.16,17.77,188362.0,600036.XSHG,10600.0,招商银行
2015-10-08,15.9,10.7,335980.0,000001.XSHE,31400.0,平安银行
2015-10-08,18.16,17.73,187938.0,600036.XSHG,10600.0,招商银行
2015-10-09,15.9,10.9,342260.0,000001.XSHE,31400.0,平安银行
2015-10-09,18.16,17.96,190376.0,600036.XSHG,10600.0,招商银行
